iter	Passed	Remaining
0	19	39604
1	30	30315
2	38	25904
3	49	24545
4	56	22621
5	63	21133
6	68	19508
7	78	19531
8	85	18832
9	97	19449
10	109	19814
11	116	19276
12	132	20187
13	145	20641
14	153	20332
15	159	19752
16	164	19236
17	174	19161
18	179	18746
19	188	18628
20	198	18672
21	208	18759
22	220	18914
23	239	19695
24	244	19323
25	251	19109
26	256	18763
27	271	19144
28	291	19782
29	304	19984
30	309	19661
31	318	19568
32	323	19289
33	331	19157
34	336	18881
35	341	18621
36	349	18554
37	354	18322
38	361	18161
39	366	17975
40	372	17784
41	382	17840
42	390	17765
43	397	17664
44	402	17474
45	407	17315
46	413	17183
47	418	17024
48	424	16912
49	429	16769
50	435	16626
51	441	16534
52	446	16401
53	451	16271
54	458	16207
55	463	16083
56	468	15957
57	475	15935
58	481	15827
59	486	15723
60	494	15729
61	499	15617
62	507	15589
63	514	15576
64	520	15508
65	533	15629
66	542	15660
67	548	15569
68	555	15557
69	561	15471
70	565	15375
71	574	15395
72	579	15309
73	587	15294
74	594	15265
75	601	15239
76	607	15162
77	612	15089
78	619	15056
79	624	14976
80	629	14903
81	635	14873
82	640	14804
83	646	14743
84	651	14675
85	656	14608
86	662	14571
87	667	14509
88	672	14443
89	679	14430
90	686	14407
91	691	14350
92	698	14331
93	703	14271
94	709	14220
95	714	14175
96	719	14120
97	725	14086
98	731	14049
99	736	13997
100	744	13991
101	749	13940
102	754	13893
103	766	13982
104	778	14044
105	788	14082
106	799	14135
107	804	14086
108	812	14093
109	817	14046
110	824	14036
111	829	13984
112	834	13933
113	842	13933
114	848	13903
115	857	13919
116	863	13901
117	874	13950
118	881	13936
119	892	13983
120	911	14161
121	933	14363
122	945	14432
123	954	14445
124	961	14418
125	969	14417
126	975	14393
127	985	14418
128	991	14387
129	996	14338
130	1004	14326
131	1009	14279
132	1013	14232
133	1020	14216
134	1025	14169
135	1033	14169
136	1039	14132
137	1043	14085
138	1056	14138
139	1069	14213
140	1080	14247
141	1089	14252
142	1101	14305
143	1111	14330
144	1121	14344
145	1130	14360
146	1137	14336
147	1146	14345
